iter	Passed	Remaining
676	333691	159205
677	334101	158673
678	334565	158167
679	334980	157637
680	335575	157193
681	336079	156705
682	336498	156178
683	336952	155668
684	337467	155185
685	337987	154705
686	338443	154196
687	338934	153702
688	339308	153156
689	339866	152693
690	340404	152221
691	340856	151710
692	341329	151209
693	341767	150692
694	342308	150221
695	342718	149693
696	343190	149191
697	343615	148670
698	344105	148176
699	344601	147686
700	345087	147191
701	345699	146750
702	346125	146229
703	346607	145732
704	347009	145202
705	347553	144731
706	348055	144243
707	348517	143738
708	349165	143310
709	349601	142794
710	350087	142300
711	350589	141811
712	351108	141329
713	351644	140854
714	352091	140344
715	352506	139821
716	353018	139336
717	353459	138823
718	353885	138305
719	354487	137856
720	354959	137355
721	355495	136880
722	355843	136332
723	356379	135857
724	356847	135356
725	357379	134878
726	357834	134372
727	358435	133920
728	358931	133429
729	359485	132960
730	359994	132474
731	360510	131990
732	360971	131486
733	361438	130984
734	361862	130467
735	362351	129973
736	362874	129492
737	363340	128990
738	363790	128483
739	364249	127979
740	364786	127503
741	365245	126999
742	365826	126537
743	366437	126085
744	366894	125581
745	367368	125082
746	367929	124613
747	368375	124105
748	368861	123610
749	369264	123088
750	369744	122591
751	370215	122092
752	370730	121607
753	371363	121161
754	371842	120664
755	372439	120205
756	372891	119699
757	373336	119191
758	373778	118683
759	374302	118200
760	374789	117706
761	375226	117196
762	375697	116697
763	376186	116204
764	376740	115730
765	377225	115235
766	377496	114676
767	377924	114164
768	378427	113676
769	379002	113208
770	379555	112734
771	380044	112241
772	380562	111756
773	381053	111263
774	381474	110750
775	382054	110283
776	382498	109777
777	383008	109290
778	383526	108805
779	384083	108331
780	384545	107830
781	385021	107333
782	385289	106778
783	385744	106276
784	386164	105764
785	386583	105252
786	386988	104737
787	387503	104252
788	387935	103744
789	388366	103236
790	388895	102754
791	389372	102259
792	389804	101752
793	390218	101240
794	390607	100722
795	391114	100235
796	391557	99731
797	392149	99265
798	392613	98767
799	393319	98329
800	393781	97830
801	394288	97343
802	394855	96869
803	395300	96366
804	395815	95880
805	396297	95386
806	396765	94889
807	397167	94376
808	397613	93874
809	398125	93387
810	398544	92879
811	398948	92367
812	399378	91861
813	399783	91350
814	400221	90847
815	400664	90345
816	401140	89851
817	401676	89370
818	402117	88868
819	402573	88369
820	403022	87869
821	403508	87377
822	403891	86863
823	404362	86368
824	404811	85869
825	405270	85371
826	405833	84896
827	406358	84412
828	406810	83913
829	407301	83423
830	407860	82946
831	408242	82433
832	408728	81941
833	409280	81463
834	409955	81009
835	410349	80499
836	410805	80001
837	411392	79529
838	411772	79017
839	412274	78528
840	412715	78028
841	413234	77542
842	413739	77054
843	414170	76552
844	414665	76062
845	415160	75572
846	415678	75087
847	416227	74606
848	416889	74146
849	417385	73656
850	417874	73164
851	418494	72696
852	419122	72228
853	419634	71740
854	420157	71254
855	420673	70767
856	421094	70264
857	421612	69777
858	422049	69277
859	422515	68781
860	422914	68275
861	423437	67789
862	423886	67291
863	424337	66793
864	424788	66296
865	425323	65812
866	425776	65315
867	426222	64817
868	426668	64319
869	427110	63821
870	427559	63323
871	428141	62846
872	428629	62354
873	429126	61864
874	429541	61363
875	429968	60863
876	430569	60387
877	431004	59889
878	431480	59396
879	431931	58899
880	432354	58399
881	432792	57901
882	433331	57417
883	433752	56917
884	434238	56426
885	434817	55947
886	435230	55446
887	435549	54934
888	436009	54439
889	436438	53941
890	436965	53455
891	437469	52967
892	437902	52469
893	438432	51984
894	438850	51485
895	439297	50989
896	439745	50494
897	440196	50000
898	440597	49499
899	441098	49010
900	441546	48516
901	442021	48024
902	442498	47533
903	442942	47038
904	443443	46549
905	443934	46059
906	444355	45562
907	444846	45072
908	445309	44579
909	445829	44092
910	446364	43607
911	446831	43115
912	447392	42632
913	447952	42148
914	448455	41659
915	448878	41163
916	449359	40672
917	449962	40192
918	450396	39697
919	450947	39212
920	451378	38717
921	451837	38224
922	452347	37736
923	452808	37243
924	453318	36755
925	453834	36267
926	454271	35773
927	454779	35284
928	455287	34795
929	455770	34305
930	456266	33815
931	456803	33328
932	457389	32845
933	457827	32351
934	458220	31854
935	458735	31366
936	459138	30870
937	459603	30378
938	459997	29882
939	460555	29397
940	460895	28897
941	461295	28402
942	461738	27909
943	462164	27416
944	462538	26920
945	463007	26429
946	463461	25938
947	464054	25454
948	464529	24964
949	464973	24472
950	465455	23982
951	465934	23492
952	466498	23006
953	466924	22514
954	467405	22024
955	467858	21533
956	468299	21041
957	468866	20555
958	469393	20067
959	469919	19579
960	470323	19087
961	470779	18596
962	471271	18107
963	471626	17612
964	472108	17123
965	472438	16628
966	472900	16138
967	473359	15648
968	473799	15157
969	474186	14665
970	474635	14175
971	475049	13684
972	475314	13189
973	476015	12706
974	476358	12214
975	476779	11724
976	477239	11234
977	477596	10743
978	478048	10254
979	478533	9765
980	479071	9278
981	479481	8788
982	479978	8300
983	480447	7812
984	481148	7327
985	481633	6838
986	482109	6349
987	482575	5861
988	483023	5372
989	483473	4883
990	483904	4394
991	484400	3906
992	484853	3417
993	485307	2929
994	485802	2441
995	486311	1953
996	486736	1464
997	487217	976
998	487728	488
999	488202	0
